City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
297,Tigre,-34.426,-58.5796,99.21,29,0,16.11,AR,clear sky
298,Constantine,36.365,6.6147,53.01,76,75,8.05,DZ,broken clouds
299,Sulangan,11.1373,123.7228,82.81,78,9,4.63,PH,clear sky
300,Lampertheim,49.6019,8.4719,47.08,93,100,3.83,DE,overcast clouds
301,Rio Grande,-32.035,-52.0986,95.11,57,1,7.38,BR,clear sky
302,Harper,4.375,-7.7169,79.52,83,5,6.78,LR,clear sky
303,Aksarka,66.5606,67.7975,14.07,96,100,7.78,RU,light snow
304,Dudinka,69.4058,86.1778,-12.01,78,55,10.78,RU,broken clouds
305,Kananga,-5.8958,22.4178,69.96,97,100,1.54,CD,overcast clouds
306,Meulaboh,4.1363,96.1285,74.84,91,100,3.96,ID,overcast clouds
307,Komsomolskiy,40.4272,71.7189,35.02,47,100,4.61,UZ,overcast clouds
308,Salaga,8.5508,-0.5188,86.18,42,22,3.96,GH,few clouds
309,Lata,40.1629,-8.3327,56.8,95,11,1.52,PT,few clouds
310,Khvorostyanka,52.6096,48.9597,32.95,89,82,16.17,RU,broken clouds
311,Mugumu,-1.85,34.7,63.23,76,100,3.78,TZ,overcast clouds
312,Pajacuaran,20.1167,-102.5667,79.36,30,2,1.61,MX,clear sky
313,Takanabe,32.1333,131.5,62.64,97,100,5.46,JP,moderate rain
314,Havre-Saint-Pierre,50.2334,-63.5986,37.76,70,90,6.91,CA,overcast clouds
315,Neijiang,29.5835,105.0622,48.61,75,100,6.58,CN,overcast clouds
316,Pacific Grove,36.6177,-121.9166,74.3,56,1,1.01,US,clear sky
317,Oussouye,12.485,-16.5469,84.29,55,97,6.73,SN,overcast clouds
318,Pahalgam,34.0333,75.3333,29.32,50,0,11.52,IN,clear sky
319,Jawa,31.8525,35.9393,46.71,87,40,0.0,JO,mist
320,Saint-Philippe,-21.3585,55.7679,74.79,76,6,6.51,RE,clear sky
321,Alofi,-19.0595,-169.9187,80.49,74,29,9.22,NU,scattered clouds
322,Khani,41.9563,42.9566,35.17,83,11,4.16,GE,few clouds
323,Ardakan,32.31,54.0175,52.18,42,97,5.35,IR,overcast clouds
324,Arlit,18.7369,7.3853,82.85,14,50,8.66,NE,scattered clouds
325,Itarema,-2.9248,-39.9167,83.05,65,3,15.1,BR,clear sky
326,Yarada,17.65,83.2667,77.32,100,20,2.3,IN,mist
327,Babynino,54.39,35.73,33.55,100,100,3.78,RU,light rain
328,Tsiroanomandidy,-18.7667,46.0333,73.89,75,93,1.48,MG,moderate rain
329,Dingle,10.9995,122.6711,76.1,92,11,4.5,PH,few clouds
330,Esna,25.2934,32.554,64.42,43,0,5.41,EG,clear sky
331,Cabo San Lucas,22.8909,-109.9124,84.61,59,26,1.99,MX,scattered clouds
332,Shahrud,36.4182,54.9763,43.25,50,89,3.87,IR,overcast clouds
333,Alugan,12.2188,125.4808,80.17,82,7,1.14,PH,clear sky
334,Mount Isa,-20.7333,139.5,76.77,44,8,8.05,AU,clear sky
335,Disna,55.568,28.1971,33.51,88,45,9.82,BY,scattered clouds
336,Pangai,-19.8,-174.35,80.71,100,20,0.0,TO,few clouds
337,Whittlesea,-32.1759,26.8244,62.44,82,100,4.21,ZA,light rain
338,Olinda,-8.0089,-34.8553,83.93,65,20,9.22,BR,few clouds
339,Saint Anthony,45.0205,-93.218,34.25,42,1,8.01,US,clear sky
340,Fairbanks,64.8378,-147.7164,-19.39,72,1,0.0,US,clear sky
341,Greci,45.1833,28.2333,45.25,78,14,8.55,RO,few clouds
342,Skibotn,69.3913,20.2679,28.4,95,99,4.81,NO,light snow
343,Thessalon,46.2501,-83.5666,39.49,97,100,16.51,CA,overcast clouds
344,Opuwo,-18.0607,13.84,72.93,23,6,6.78,NA,clear sky
345,Limbang,4.75,115.0,79.11,97,100,2.48,MY,overcast clouds
346,Husavik,66.0449,-17.3389,42.71,82,39,10.74,IS,scattered clouds
347,Asau,46.4333,26.4,46.4,59,2,6.11,RO,clear sky
