City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,mazagao,BR,2021-11-16 05:17:12,-0.115,-51.2894,78.85,93,98,3.24
200,faanui,PF,2021-11-16 05:15:25,-16.4833,-151.75,80.49,75,99,8.79
201,san andres,CO,2021-11-16 05:17:12,12.5847,-81.7006,82.13,77,46,14.99
202,esperance,AU,2021-11-16 05:15:32,-33.8667,121.9,66.67,75,98,14.12
203,belmonte,BR,2021-11-16 05:17:13,-15.8631,-38.8828,73.9,96,100,7.52
204,raga,SS,2021-11-16 05:17:13,8.4596,25.678,73.38,46,12,1.77
205,flinders,AU,2021-11-16 05:17:13,-34.5833,150.8552,67.21,52,7,11.14
206,sabang,ID,2021-11-16 05:17:14,5.8933,95.3214,80.44,77,100,4.83
207,meulaboh,ID,2021-11-16 05:15:33,4.1363,96.1285,83.73,68,97,4.21
208,grong,NO,2021-11-16 05:17:14,64.4654,12.3149,44.02,99,100,2.71
209,mogadishu,SO,2021-11-16 05:17:14,2.0371,45.3438,80.74,75,43,9.55
210,san cristobal,VE,2021-11-16 05:17:14,7.7669,-72.225,69.98,80,91,1.32
211,alyangula,AU,2021-11-16 05:17:15,-13.8483,136.4192,88.11,46,100,17.11
212,gorodishche,RU,2021-11-16 05:17:15,48.8045,44.4744,29.28,69,75,8.95
213,puerto madero,MX,2021-11-16 05:17:15,14.7208,-92.4215,75.4,100,40,4.61
214,kongolo,CD,2021-11-16 05:17:15,-5.3833,27.0,69.44,98,74,0.89
215,taltal,CL,2021-11-16 05:15:53,-25.4,-70.4833,59.27,83,1,2.13
216,jamui,IN,2021-11-16 05:17:16,24.9167,86.2167,78.85,37,27,3.96
217,saldanha,ZA,2021-11-16 05:15:26,-33.0117,17.9442,62.78,85,78,14.09
218,arbazh,RU,2021-11-16 05:17:16,57.6804,48.3065,23.92,86,100,15.95
219,mitsamiouli,KM,2021-11-16 05:15:34,-11.3847,43.2844,80.78,72,0,8.95
220,vila velha,BR,2021-11-16 05:17:16,-20.3297,-40.2925,66.94,95,75,3.44
221,oxapampa,PE,2021-11-16 05:17:16,-10.5775,-75.4017,60.37,98,100,2.04
222,washington,US,2021-11-16 05:15:58,47.5001,-120.5015,41.99,77,17,10.38
223,ahipara,NZ,2021-11-16 05:15:22,-35.1667,173.1667,66.61,76,68,9.69
224,pen,IN,2021-11-16 05:17:17,18.75,73.0833,89.64,50,94,14.18
225,oranjemund,NA,2021-11-16 05:17:17,-28.55,16.4333,60.66,92,2,9.48
